nm,発光,nm,励起光
500.5,89.30604361,,
501,89.35102189,,
501.5,89.40788306,,
502,89.45313768,,
502.5,89.50001194,,
503,89.54841752,,
503.5,89.59598983,,
504,89.64421941,,
504.5,89.69120278,,
505,89.73708531,,
505.5,89.792286,,
506,89.83682872,,
506.5,89.83735157,,
507,89.8471941,,
507.5,89.89886014,,
508,89.95127,,
508.5,89.99682835,,
509,90.04492235,,
509.5,90.09111859,,
510,90.13963759,,
510.5,90.19600018,,
511,90.22241158,,
511.5,90.21713431,,
512,90.2468329,,
512.5,90.30341165,,
513,90.35133493,,
513.5,90.39774398,,
514,90.44573526,,
514.5,90.49130777,,
515,90.54450869,,
515.5,90.59454401,,
516,90.60153275,,
516.5,90.60424946,,
517,90.65103662,,
517.5,90.70564881,,
518,90.75127671,,
518.5,90.79824393,,
519,90.84698432,,
519.5,90.89476403,,
520,90.94002034,,
520.5,90.9911978,,
521,91.04519622,,
521.5,91.06056597,,
522,91.0579618,,
522.5,91.09771656,,
523,91.15424651,,
523.5,91.20082055,,
524,91.24501954,,
524.5,91.2968446,,
525,91.35058361,,
525.5,91.36590226,,
526,91.36321632,,
526.5,91.4013062,,
527,91.46320784,,
527.5,91.51110735,,
528,91.5164056,,
528.5,91.51983963,,
529,91.56595129,,
529.5,91.62791241,,
530,91.66835831,,
530.5,91.6673782,,
531,91.67872756,,
531.5,91.73115145,,
532,91.79174195,,
532.5,91.82324431,,
533,91.81890528,,
533.5,91.839543,,
534,91.89669849,,
534.5,91.9543349,,
535,91.97618569,,
535.5,91.97164899,,
536,92.0019493,,
536.5,92.06227443,,
537,92.11540428,,
537.5,92.12772131,,
538,92.12625217,,
538.5,92.1661882,,
539,92.22653409,,
539.5,92.27334593,,
540,92.28581013,,
540.5,92.27651987,,
541,92.27276102,,
541.5,92.29996624,,
542,92.35546615,,
542.5,92.41240629,,
543,92.43378641,,
543.5,92.42928196,,
544,92.46098217,,
544.5,92.52054341,,
545,92.57186815,,
545.5,92.59098893,,
546,92.5837119,,
546.5,92.57689546,,
547,92.59700517,,
547.5,92.648984,,
548,92.70909205,,
548.5,92.737947,,
549,92.73151442,,
549.5,92.76476265,,
550,92.81324234,,
550.5,92.81069203,,
551,92.82834735,,
551.5,92.88240895,,
552,92.89699956,,
552.5,92.8874059,,
553,92.88786671,,
553.5,92.88957804,,
554,92.88892324,,
554.5,92.88882363,,
555,92.88898642,,
555.5,92.88895221,,
556,92.88893282,,
556.5,92.88894604,,
557,92.8889453,,
557.5,92.88894298,,
558,92.88894389,,
558.5,92.88894402,,
559,92.88894379,,
559.5,92.88894384,,
560,92.88894387,,
560.5,92.88894385,,
561,92.88894385,,
561.5,92.88894385,,
562,92.88894385,,
562.5,92.88894385,,
563,92.88894385,,
563.5,92.88894385,,
564,92.88894385,,
564.5,92.88894385,,
565,92.88894386,,
565.5,92.88894385,,
566,92.88894386,,
566.5,92.88894388,,
567,92.88894379,,
567.5,92.8889438,,
568,92.88894428,,
568.5,92.88894333,,
569,92.88894252,,
569.5,92.88894887,,
570,92.88894212,,
570.5,92.88892142,,
571,92.88899436,,
571.5,92.88897765,,
572,92.88863497,,
572.5,92.88933816,,
573,92.88989554,,
573.5,92.88526954,,
574,92.89037087,,
574.5,92.90512414,,
575,92.84741609,,
575.5,92.74415516,,
576,92.72263421,,
576.5,92.73917111,,
577,92.73680311,,
577.5,92.74034157,,
578,92.7342992,,
578.5,92.69029351,,
579,92.63112769,,
579.5,92.58662564,,
580,92.57720743,,
580.5,92.5872396,,
581,92.58905948,,
581.5,92.55837438,,
582,92.50143711,,
582.5,92.44622158,,
583,92.42927651,,
583.5,92.43265796,,
584,92.39669217,,
584.5,92.33655993,,
585,92.28740695,,
585.5,92.2716893,,
586,92.2801045,,
586.5,92.28552523,,
587,92.26176576,,
587.5,92.2079029,,
588,92.14961892,,
588.5,92.12381217,,
589,92.12875961,,
589.5,92.1014174,,
590,92.04274676,,
590.5,91.98950259,,
591,91.96694037,,
591.5,91.97288398,,
592,91.98094404,,
592.5,91.96406054,,
593,91.91413753,,
593.5,91.85420579,,
594,91.8196201,,
594.5,91.82334515,,
595,91.8053894,,
595.5,91.74931097,,
596,91.69073364,,
596.5,91.66626133,,
597,91.67103664,,
597.5,91.64351804,,
598,91.583596,,
598.5,91.52850329,,
599,91.51632447,,
599.5,91.51761785,,
600,91.46915404,,
600.5,91.43617786,,
601,91.44303932,,
601.5,91.40707181,,
602,91.35961922,,
602.5,91.35867602,,
603,91.36602585,,
603.5,91.36379425,,
604,91.36316609,,
604.5,91.36381812,,
605,91.36372327,,
605.5,91.36363013,,
606,91.36367973,,
606.5,91.36368059,,
607,91.36367059,,
607.5,91.36367371,,
608,91.36367449,,
608.5,91.36367371,,
609,91.36367388,,
609.5,91.36367337,,
610,91.36367424,,
610.5,91.36367586,,
611,91.36366804,,
611.5,91.36367296,,
612,91.36370424,,
612.5,91.36362162,,
613,91.36360105,,
613.5,91.36406113,,
614,91.3633573,,
614.5,91.36221487,,
615,91.36793784,,
615.5,91.36411577,,
616,91.32410758,,
616.5,91.26386392,,
617,91.21602598,,
617.5,91.21104434,,
618,91.20712861,,
618.5,91.16026431,,
619,91.10027265,,
619.5,91.05888805,,
620,91.05255706,,
620.5,91.06289356,,
621,91.06255209,,
621.5,91.02849727,,
622,90.97034109,,
622.5,90.91721266,,
623,90.9045467,,
623.5,90.90612505,,
624,90.86615503,,
624.5,90.80577735,,
625,90.75901269,,
625.5,90.74656179,,
626,90.75593252,,
626.5,90.75975967,,
627,90.73195499,,
627.5,90.6768589,,
628,90.62197145,,
628.5,90.59472506,,
629,90.59884011,,
629.5,90.60808418,,
630,90.59511984,,
630.5,90.54796437,,
631,90.4876058,,
631.5,90.4482459,,
632,90.45015414,,
632.5,90.43682693,,
633,90.38334475,,
633.5,90.32536764,,
634,90.29183347,,
634.5,90.29184282,,
635,90.30218115,,
635.5,90.29535359,,
636,90.25333235,,
636.5,90.19381451,,
637,90.14743258,,
637.5,90.14126469,,
638,90.14073698,,
638.5,90.09803323,,
639,89.99714167,,
639.5,89.91352209,,
640,89.92211946,,
640.5,89.879339,,
641,89.77220716,,
641.5,89.76025236,,
