0,1,2
437,10601.542042088036,8290.113425375761
438,10467.180352579888,8164.629303051214
439,10791.874297057075,8468.26550519944
440,11089.217282589945,8760.728952875856
441,10284.90630700718,7913.312379202591
442,10083.095926039745,7721.043235740685
443,9908.911080263875,7549.932182523396
444,9802.030788737744,7469.832851934715
445,9668.191282034073,7341.63348227415
446,9068.961474207395,6694.181883653893
447,8979.806406930917,7870.438888818149
448,8578.596719063768,6224.383864279367
449,8174.000974447966,5899.53597867785
450,7105.809192791172,4802.076725563069
451,7083.125653795194,4737.9861564629355
452,6750.481447502277,4393.830306853547
453,6017.725855688115,3731.1118324768413
454,6425.099762996394,4047.716387767295
455,5178.9673091035065,2862.715257435324
456,5027.397557506314,2672.6002417143595
457,3919.085035985676,1588.7741148717826
458,3692.3400014348254,1593.1238654073038
459,3081.836097587107,698.9298340626858
460,2985.758609206355,580.27381654023
461,2233.89851821793,-108.04760711815555
462,1471.4958508353936,-950.1806329954595
463,1960.5207187189576,253.57292575093697
464,949.696298839883,-1384.4363005971875
465,392.85111249543263,-1945.1066051881476
466,169.22896304711145,-2206.9259607794606
467,-83.13129929454323,-2403.5573726129583
468,77.8028177321836,4319.263700083145
469,-301.2015528795003,-2616.3369945859367
470,-540.6618940857109,-2907.178353888291
471,-1341.6668802588415,-3675.6857707518016
472,-1165.3098355985535,-3549.5884687052985
473,-1594.332297593296,-2870.074952934283
474,-1486.9704757876502,-3847.2674622151253
475,-1694.008768808944,-4025.391318189606
476,-1578.639864331323,-3936.4962051849984
477,-2180.03353185421,-3378.573395914557
478,-2190.219882732914,-4548.501906327847
479,-2254.061880376644,-4508.4926847200295
480,-2230.7537297992712,-4635.0358908258695
481,-2285.9821289450256,-4633.75411418729
482,-2309.332008876849,-4632.896451384704
483,-2803.6770353626302,-5116.063917382743
484,-3046.067135792247,-5425.668716359721
485,-2442.688211877062,-4838.352778591751
486,-3009.178394441287,-5349.21518809038
487,-2676.851264540189,-5067.800930584313
488,-3108.1523833953925,-5502.557405810241
489,-3535.9966097401784,-5890.1450588805865
490,-3138.3041734735366,-5477.486184741764
491,-3291.755052650556,-5682.333591315921
492,-2869.1483769600386,-5208.420166188394
493,-3212.713437444088,-5570.356645316432
